,Image_path,room_type
0,-0.1486156630445526/34091974/A34091974_I0.jpeg,living_room
1,-0.1486156630445526/34091974/A34091974_I3.jpeg,kitchen
2,-0.1486156630445526/34091974/A34091974_I4.jpeg,living_room
3,-0.1486156630445526/34091974/A34091974_I2.jpeg,living_room
4,-0.1486156630445526/34091974/A34091974_I1.jpeg,living_room
5,-0.0194332489767862/2108703/A2108703_I3.jpeg,living_room
6,-0.0194332489767862/2108703/A2108703_I0.jpeg,bedroom
7,-0.0194332489767862/2108703/A2108703_I4.jpeg,bedroom
8,-0.0194332489767862/2108703/A2108703_I2.jpeg,bedroom
9,-0.0194332489767862/2108703/A2108703_I1.jpeg,bedroom
10,-0.6013600035324768/43767934/A43767934_I1.jpeg,living_room
11,-0.6013600035324768/43767934/A43767934_I3.jpeg,bathroom
12,-0.6013600035324768/43767934/A43767934_I0.jpeg,bathroom
13,-0.6013600035324768/43767934/A43767934_I2.jpeg,bathroom
14,-0.6013600035324768/43767934/A43767934_I4.jpeg,bedroom
15,-0.4240075948249217/21733997/A21733997_I1.jpeg,living_room
16,-0.4240075948249217/21733997/A21733997_I3.jpeg,bedroom
17,-0.4240075948249217/21733997/A21733997_I0.jpeg,living_room
18,-0.4240075948249217/21733997/A21733997_I2.jpeg,bedroom
19,-0.4240075948249217/21733997/A21733997_I4.jpeg,Interior
20,1.5654952076677315/39668722/A39668722_I2.jpeg,living_room
21,1.5654952076677315/39668722/A39668722_I0.jpeg,living_room
22,1.5654952076677315/39668722/A39668722_I1.jpeg,living_room
23,1.5654952076677315/39668722/A39668722_I4.jpeg,bedroom
24,1.5654952076677315/39668722/A39668722_I3.jpeg,bedroom
25,0.1489049270472084/33769397/A33769397_I2.jpeg,kitchen
26,0.1489049270472084/33769397/A33769397_I0.jpeg,living_room
27,0.1489049270472084/33769397/A33769397_I4.jpeg,bedroom
28,0.1489049270472084/33769397/A33769397_I3.jpeg,bedroom
29,0.1489049270472084/33769397/A33769397_I1.jpeg,kitchen
30,1.0191896786797174/39214102/A39214102_I0.jpeg,living_room
31,1.0191896786797174/39214102/A39214102_I1.jpeg,Exterior
32,1.0191896786797174/39214102/A39214102_I3.jpeg,kitchen
33,1.0191896786797174/39214102/A39214102_I2.jpeg,living_room
34,1.0191896786797174/39214102/A39214102_I4.jpeg,living_room
35,-0.0606418265806557/44536707/A44536707_I2.jpeg,living_room
36,-0.0606418265806557/44536707/A44536707_I1.jpeg,dining_room
37,-0.0606418265806557/44536707/A44536707_I0.jpeg,bathroom
38,-0.0606418265806557/44536707/A44536707_I4.jpeg,dining_room
39,-0.0606418265806557/44536707/A44536707_I3.jpeg,Exterior
40,0.0664326400847794/33788019/A33788019_I4.jpeg,kitchen
41,0.0664326400847794/33788019/A33788019_I1.jpeg,living_room
42,0.0664326400847794/33788019/A33788019_I0.jpeg,living_room
43,0.0664326400847794/33788019/A33788019_I3.jpeg,kitchen
44,0.0664326400847794/33788019/A33788019_I2.jpeg,dining_room
45,0.0664326400847794/33801532/A33801532_I0.jpeg,living_room
46,0.0664326400847794/33801532/A33801532_I2.jpeg,living_room
47,0.0664326400847794/33801532/A33801532_I3.jpeg,bedroom
48,0.0664326400847794/33801532/A33801532_I4.jpeg,living_room
49,0.0664326400847794/33801532/A33801532_I1.jpeg,living_room
50,0.0664326400847794/33787438/A33787438_I0.jpeg,kitchen
51,0.0664326400847794/33787438/A33787438_I3.jpeg,bathroom
52,0.0664326400847794/33787438/A33787438_I1.jpeg,bathroom
53,0.0664326400847794/33787438/A33787438_I2.jpeg,kitchen
54,0.0664326400847794/33787438/A33787438_I4.jpeg,living_room
55,0.0664326400847794/33787433/A33787433_I4.jpeg,dining_room
56,0.0664326400847794/33787433/A33787433_I0.jpeg,living_room
57,0.0664326400847794/33787433/A33787433_I1.jpeg,kitchen
58,0.0664326400847794/33787433/A33787433_I3.jpeg,living_room
59,0.0664326400847794/33787433/A33787433_I2.jpeg,living_room
60,-0.7140313056518889/16552438/A16552438_I4.jpeg,bedroom
61,-0.7140313056518889/16552438/A16552438_I0.jpeg,bedroom
62,-0.7140313056518889/16552438/A16552438_I1.jpeg,bedroom
63,-0.7140313056518889/16552438/A16552438_I3.jpeg,bedroom
64,-0.7140313056518889/16552438/A16552438_I2.jpeg,bathroom
65,0.3190411265542011/34648471/A34648471_I1.jpeg,Exterior
66,0.3190411265542011/34648471/A34648471_I2.jpeg,Interior
67,0.3190411265542011/34648471/A34648471_I4.jpeg,bedroom
68,0.3190411265542011/34648471/A34648471_I3.jpeg,dining_room
69,0.3190411265542011/34648471/A34648471_I0.jpeg,Exterior
70,-0.6991212964189517/8664611/A8664611_I3.jpeg,living_room
71,-0.6991212964189517/8664611/A8664611_I4.jpeg,bedroom
72,-0.6991212964189517/8664611/A8664611_I0.jpeg,living_room
73,-0.6991212964189517/8664611/A8664611_I2.jpeg,bedroom
74,-0.6991212964189517/8664611/A8664611_I1.jpeg,living_room
75,-0.3650299984031268/38295203/A38295203_I1.jpeg,Exterior
76,-0.3650299984031268/38295203/A38295203_I4.jpeg,bedroom
77,-0.3650299984031268/38295203/A38295203_I2.jpeg,dining_room
78,-0.3650299984031268/38295203/A38295203_I0.jpeg,bedroom
79,-0.3650299984031268/38295203/A38295203_I3.jpeg,bathroom
80,-0.2543193676383292/45701033/A45701033_I0.jpeg,bedroom
81,-0.2543193676383292/45701033/A45701033_I3.jpeg,bathroom
82,-0.2543193676383292/45701033/A45701033_I1.jpeg,living_room
83,-0.2543193676383292/45701033/A45701033_I4.jpeg,bathroom
84,-0.2543193676383292/45701033/A45701033_I2.jpeg,living_room
85,-0.6637298091042587/44853938/A44853938_I1.jpeg,bedroom
86,-0.6637298091042587/44853938/A44853938_I4.jpeg,bathroom
87,-0.6637298091042587/44853938/A44853938_I0.jpeg,living_room
88,-0.6637298091042587/44853938/A44853938_I2.jpeg,bathroom
89,-0.6637298091042587/44853938/A44853938_I3.jpeg,bathroom
90,-0.6771350574494134/18071621/A18071621_I4.jpeg,bathroom
91,-0.6771350574494134/18071621/A18071621_I3.jpeg,bathroom
92,-0.6771350574494134/18071621/A18071621_I0.jpeg,bedroom
93,-0.6771350574494134/18071621/A18071621_I2.jpeg,living_room
94,-0.6771350574494134/18071621/A18071621_I1.jpeg,bedroom
95,-0.6771350574494134/18071754/A18071754_I1.jpeg,bedroom
96,-0.6771350574494134/18071754/A18071754_I0.jpeg,bedroom
97,-0.6771350574494134/18071754/A18071754_I2.jpeg,living_room
98,-0.6771350574494134/18071754/A18071754_I4.jpeg,bathroom
99,-0.6771350574494134/18071754/A18071754_I3.jpeg,bathroom
100,-0.6771350574494134/18071919/A18071919_I1.jpeg,bedroom
101,-0.6771350574494134/18071919/A18071919_I4.jpeg,bathroom
102,-0.6771350574494134/18071919/A18071919_I2.jpeg,living_room
103,-0.6771350574494134/18071919/A18071919_I3.jpeg,bathroom
104,-0.6771350574494134/18071919/A18071919_I0.jpeg,bedroom
105,-0.6771350574494134/18076912/A18076912_I0.jpeg,bedroom
106,-0.6771350574494134/18076912/A18076912_I1.jpeg,bedroom
107,-0.6771350574494134/18076912/A18076912_I2.jpeg,Exterior
108,-0.6771350574494134/18076912/A18076912_I3.jpeg,bedroom
109,-0.6771350574494134/18076912/A18076912_I4.jpeg,kitchen
110,-0.4241400627014616/12054516/A12054516_I0.jpeg,bedroom
111,-0.4241400627014616/12054516/A12054516_I4.jpeg,living_room
112,-0.4241400627014616/12054516/A12054516_I1.jpeg,living_room
113,-0.4241400627014616/12054516/A12054516_I3.jpeg,living_room
